"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5204003";"Cabeceiras (GO)";"-";"-";"-";"...";"-";"-";"1460";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"3670";"3670";"-";"...";"-";"...";"-";"-";"4933";"-";"-";"-";"-";"-";"-";"-";"-";"9300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"299";"-";"27";"-";"-";"-";"113584";"-";"-";"-";"-";"-";"-";"-";"100800";"7200";"-";"-";"5040";"-";"-";"-";"-"
"5204102";"Cachoeira Alta (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"350";"...";"-";"-";"-";"-";"...";"665591";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5204201";"Cachoeira de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5204250";"Cachoeira Dourada (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"122";"-";"-";"147";"...";"-";"-";"-";"-";"...";"1296493";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"-";"-";"-";"400";"-";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"13580";"-";"-";"-";"-";"-";"-";"-";"18900";"4000";"-";"-";"-";"-";"-";"-";"-"
"5204300";"Caçu (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1634799";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6285";"-";"-";"-";"-";"-";"-";"-";"4050";"-";"-";"-";"-";"-";"-";"-";"-"
"5204409";"Caiapônia (GO)";"-";"756";"-";"...";"-";"7280";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4165";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"999";"-";"209550";"-";"-";"-";"-";"-";"-";"-";"118600";"6860";"-";"-";"-";"-";"-";"-";"-"
"5204508";"Caldas Novas (GO)";"-";"110";"-";"...";"-";"-";"-";"-";"31";"-";"-";"131";"-";"-";"-";"...";"-";"-";"-";"-";"...";"375";"...";"-";"-";"-";"-";"-";"-";"520";"-";"-";"-";"-";"224";"-";"-";"3600";"-";"-";"-";"11600";"55";"-";"-";"-";"-";"-";"750";"-";"-";"-";"-";"-";"78100";"-";"-";"-";"-";"-";"-";"-";"115500";"16920";"-";"8400";"-";"-";"-";"-";"-"
"5204557";"Caldazinha (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"75";"-";"-";"-";"...";"-";"12";"12";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"825";"-";"-";"-";"-";"-";"1950";"-";"-";"-";"-";"-";"-";"-";"840";"-";"54";"-";"-";"-";"-";"-";"-"
"5204607";"Campestre de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"120";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3245";"-";"-";"-";"-";"-";"-";"-";"2950";"-";"-";"-";"-";"-";"-";"-";"-"
"5204656";"Campinaçu (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"128";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1272";"-";"-";"-";"-";"-";"1017";"-";"-";"-";"-";"-";"-";"-";"6058";"-";"-";"-";"-";"-";"-";"-";"-"
"5204706";"Campinorte (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"165";"-";"-";"-";"...";"-";"-";"-";"-";"...";"132000";"...";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"285";"78";"-";"-";"-";"-";"2900";"-";"-";"-";"-";"-";"-";"-";"28500";"3150";"-";"-";"-";"-";"-";"-";"-"
"5204805";"Campo Alegre de Goiás (GO)";"-";"-";"-";"...";"-";"-";"3864";"-";"-";"-";"-";"-";"-";"23240";"42";"...";"-";"2608";"2608";"-";"...";"107000";"...";"-";"-";"1665";"-";"-";"-";"-";"-";"-";"-";"-";"14640";"-";"-";"210";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3040";"-";"180";"-";"-";"-";"90000";"-";"-";"-";"-";"-";"-";"-";"205500";"33600";"-";"5600";"2460";"-";"-";"-";"-"
"5204854";"Campo Limpo de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"180";"-";"-";"3392";"-";"-";"-";"...";"-";"70";"70";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"810";"78";"-";"-";"-";"-";"-";"2170";"-";"-";"-";"-";"-";"2232";"-";"-";"-";"-";"-";"-";"-";"1458";"-";"2400";"-";"-";"-";"-";"-";"-"
"5204904";"Campos Belos (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5204953";"Campos Verdes (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"171";"-";"-";"-";"-";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5205000";"Carmo do Rio Verde (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1500";"-";"-";"-";"...";"-";"-";"-";"-";"...";"644000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2400";"-";"22000";"-";"2470";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5205059";"Castelândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"399000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"12000";"-";"-";"-";"-";"-";"-";"-";"6630";"-";"-";"-";"-";"-";"-";"-";"-"
"5205109";"Catalão (GO)";"90";"-";"-";"...";"-";"-";"650";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"1000";"1000";"-";"...";"64000";"...";"-";"-";"210";"-";"-";"-";"-";"-";"-";"-";"-";"8100";"-";"-";"2310";"-";"-";"-";"9000";"-";"-";"-";"-";"-";"-";"2250";"-";"-";"-";"-";"-";"100000";"-";"-";"-";"-";"-";"-";"-";"359700";"48000";"-";"2933";"15680";"-";"-";"-";"-"
"5205208";"Caturaí (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"71725";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3100";"-";"-";"-";"-";"-";"-";"-";"502";"-";"-";"-";"-";"-";"-";"-";"-"
"5205307";"Cavalcante (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"120";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3267";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5205406";"Ceres (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"57";"-";"-";"4200";"-";"-";"-";"...";"-";"-";"-";"-";"...";"31961";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"3780";"-";"2665";"-";"-";"-";"-";"-";"-";"-";"210";"-";"-";"-";"-";"-";"-";"-";"-"
"5205455";"Cezarina (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1056";"...";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"98";"-";"-";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"-";"392";"-";"-";"-";"-";"-";"4270";"-";"-";"-";"-";"-";"-";"-";"6237";"506";"-";"6250";"-";"-";"-";"-";"-"
"5205471";"Chapadão do Céu (GO)";"-";"-";"-";"...";"-";"50180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"3025000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3255";"-";"-";"512";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"479230";"-";"-";"-";"-";"-";"-";"-";"333700";"2780";"-";"-";"-";"-";"-";"-";"-"
"5205497";"Cidade Ocidental (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"170";"-";"-";"21500";"-";"-";"-";"-";"-";"-";"-";"10880";"695";"178";"-";"-";"-";"-";"-";"-"
"5205513";"Cocalzinho de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"210";"-";"-";"315";"-";"-";"32";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3360";"-";"-";"-";"-";"-";"20016";"-";"-";"-";"-";"-";"-";"-";"34880";"900";"-";"-";"-";"-";"-";"-";"18"
"5205521";"Colinas do Sul (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"58";"-";"-";"-";"...";"-";"-";"-";"-";"...";"336";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342";"-";"-";"-";"-";"-";"230";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5205703";"Córrego do Ouro (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"-";"-";"500";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5205802";"Corumbá de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"364";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2880";"-";"-";"-";"-";"-";"3960";"-";"-";"-";"-";"-";"-";"-";"19200";"900";"-";"10320";"-";"-";"-";"-";"-"
"5205901";"Corumbaíba (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"3750";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"168";"-";"-";"648";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"13967";"-";"-";"-";"-";"-";"-";"-";"27000";"-";"-";"-";"-";"-";"-";"-";"-"
"5206206";"Cristalina (GO)";"-";"-";"-";"...";"-";"34467";"26000";"-";"-";"-";"-";"-";"-";"180000";"-";"...";"-";"5904";"5904";"-";"...";"-";"...";"-";"-";"152250";"-";"-";"-";"-";"-";"-";"-";"-";"47160";"-";"-";"2160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1050";"-";"-";"-";"-";"584000";"-";"-";"-";"-";"-";"-";"-";"694100";"28800";"-";"346500";"22198";"-";"-";"-";"220"
"5206305";"Cristianópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"185";"-";"-";"-";"-";"-";"4840";"-";"-";"-";"-";"-";"-";"-";"9900";"300";"-";"-";"-";"-";"-";"-";"-"
"5206404";"Crixás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"...";"-";"-";"-";"-";"...";"960";"...";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2400";"-";"-";"-";"-";"-";"2500";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5206503";"Cromínia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"67";"-";"-";"208";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"252";"-";"-";"-";"-";"-";"-";"396";"-";"-";"-";"-";"-";"-";"330";"-";"-";"-";"-";"-";"2551";"-";"-";"-";"-";"-";"-";"-";"1890";"151";"-";"-";"-";"-";"-";"-";"-"
"5206602";"Cumari (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"191";"...";"-";"-";"-";"-";"...";"330";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"67";"-";"-";"-";"-";"-";"1400";"-";"-";"-";"-";"-";"-";"-";"4950";"1152";"-";"95";"-";"-";"-";"-";"-"
"5206701";"Damianópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5206800";"Damolândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"156";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"270";"-";"-";"-";"-";"-";"-";"-";"330";"-";"315";"-";"-";"-";"-";"-";"-"
"5206909";"Davinópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"900";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80";"-";"-";"-";"-";"-";"1200";"-";"-";"-";"-";"-";"-";"-";"5610";"-";"-";"-";"-";"-";"-";"-";"-"
"5207105";"Diorama (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"540";"-";"-";"-";"-";"-";"2700";"-";"-";"-";"-";"-";"-";"-";"11550";"-";"-";"-";"-";"-";"-";"-";"-"
"5207253";"Doverlândia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"51660";"-";"-";"-";"-";"-";"-";"-";"64380";"-";"-";"-";"-";"-";"-";"-";"-"
"5207352";"Edealina (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"7020";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"-";"-";"-";"1001";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24888";"-";"765";"-";"-";"-";"-";"-";"70400";"16048";"-";"30000";"-";"-";"-";"-";"-"
"5207402";"Edéia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"521";"...";"-";"-";"-";"-";"...";"2720000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95650";"-";"-";"-";"-";"-";"-";"-";"86100";"3300";"-";"-";"-";"-";"-";"-";"-"
"5207501";"Estrela do Norte (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"532";"-";"-";"-";"-";"-";"999";"-";"-";"-";"-";"-";"-";"-";"4829";"-";"-";"-";"-";"-";"-";"-";"-"
"5207535";"Faina (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"900";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5207600";"Fazenda Nova (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"990";"-";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5207808";"Firminópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"336";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"960";"-";"-";"-";"-";"-";"15000";"-";"-";"-";"-";"-";"-";"-";"19800";"-";"-";"-";"-";"-";"-";"-";"-"
"5207907";"Flores de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"86450";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3270";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3824";"-";"-";"-";"-";"-";"26866";"-";"-";"-";"-";"-";"-";"-";"16120";"3167";"-";"-";"750";"-";"-";"-";"-"
"5208004";"Formosa (GO)";"70";"-";"-";"...";"-";"-";"-";"-";"26500";"-";"-";"700";"-";"-";"-";"...";"-";"-";"-";"-";"...";"101116";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12002";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6020";"-";"95";"-";"-";"-";"48099";"-";"-";"-";"-";"-";"-";"-";"54000";"1554";"450";"3760";"750";"-";"-";"-";"41"
"5208103";"Formoso (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"161";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"978";"-";"-";"-";"-";"-";"775";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5208152";"Gameleira de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"38";"38";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1340";"-";"-";"2070";"-";"-";"-";"2835";"-";"-";"-";"-";"-";"-";"360";"-";"75";"-";"-";"-";"94300";"-";"72";"-";"-";"-";"-";"-";"84000";"4600";"270";"17600";"-";"-";"-";"-";"-"
"5208301";"Divinópolis de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5208400";"Goianápolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"2200";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7728";"-";"-";"-";"-";"-";"-";"1240";"-";"-";"-";"-";"-";"11592";"-";"-";"-";"-";"-";"-";"-";"6270";"-";"2580";"15550";"-";"-";"-";"-";"-"
"5208509";"Goiandira (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1142";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"210";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"3995";"-";"-";"-";"-";"-";"-";"-";"5940";"-";"-";"-";"-";"-";"-";"-";"-"
"5208608";"Goianésia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"93";"-";"-";"1785";"-";"-";"1767";"...";"-";"-";"-";"-";"...";"1527250";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1061";"-";"-";"-";"-";"-";"12000";"-";"-";"-";"-";"-";"-";"-";"4200";"-";"-";"-";"-";"-";"-";"-";"-"
"5208707";"Goiânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"252";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179";"-";"-";"-";"-";"-";"1400";"-";"-";"-";"-";"-";"-";"-";"3312";"-";"-";"1200";"-";"-";"-";"-";"-"
"5208806";"Goianira (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"72904";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2300";"-";"-";"-";"-";"-";"-";"-";"6000";"4300";"-";"-";"-";"-";"-";"-";"-"
"5208905";"Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"...";"-";"-";"-";"-";"...";"8250";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2090";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"450";"-";"-";"-";"-";"-";"14400";"-";"-";"-";"-";"-";"-";"-";"8910";"1800";"-";"-";"-";"-";"-";"-";"-"
