"Cód.";"Município";"Abacate";"Abacaxi";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"5200605";"Alto Paraíso de Goiás (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14551";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"45990";"-";"-";"-";"-";"-";"-";"-";"26206";"1080";"-";"-";"300";"-";"-";"-";"-"
"5200803";"Alvorada do Norte (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"31";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"-";"-";"-";"-";"-";"-";"1317";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3600";"-";"-";"-";"-";"-";"-";"-";"7410";"-";"-";"-";"-";"-";"-";"-";"-"
"5200829";"Amaralina (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"95";"-";"-";"-";"...";"-";"-";"-";"-";"...";"432";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"285";"-";"-";"-";"-";"-";"1100";"-";"-";"-";"-";"-";"-";"-";"13200";"1280";"-";"-";"-";"-";"-";"-";"-"
"5200852";"Americano do Brasil (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"125";"-";"-";"2288";"-";"-";"-";"...";"-";"104";"104";"-";"...";"29000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"136";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2800";"-";"-";"-";"-";"-";"-";"-";"800";"-";"-";"-";"-";"-";"-";"-";"-"
"5200902";"Amorinópolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"800";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14040";"-";"-";"-";"-";"-";"-";"-";"-"
"5201108";"Anápolis (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"60";"-";"-";"32551";"-";"-";"1376";"...";"-";"112";"112";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6233";"360";"-";"-";"-";"-";"-";"3100";"-";"-";"-";"-";"-";"9412";"-";"-";"-";"-";"-";"-";"-";"8100";"2250";"5100";"4750";"-";"-";"-";"-";"-"
"5201207";"Anhanguera (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"270";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5201306";"Anicuns (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"140";"-";"-";"7550";"-";"-";"-";"...";"-";"277";"277";"-";"...";"676000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1470";"-";"-";"-";"-";"-";"11000";"-";"-";"-";"-";"-";"-";"-";"7100";"1278";"-";"-";"-";"-";"-";"-";"-"
"5201405";"Aparecida de Goiânia (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"300";"-";"-";"-";"...";"-";"-";"-";"-";"...";"750";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"-";"480";"-";"-";"-";"-";"-";"360";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"5201454";"Aparecida do Rio Doce (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2680";"-";"-";"-";"-";"-";"-";"-";"2870";"-";"-";"-";"-";"-";"-";"-";"-"
"5201504";"Aporé (GO)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"1593000";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13125";"-";"-";"-";"-";"-";"-";"-";"24670";"-";"-";"-";"-";"-";"-";"-";"-"
