MATRICULA
13934
13866
13938
14020
14086
14158
14129
3617
15890
11157
10976
11111
11115
11138
11140
11397
11559
11755


10140
10737
10377
10411
11153
10752
10612
10938
22854
10778
10992
11038
11448
11497








13794
13874

15119

11273
13894
13898



19729
23786


11686
11702
12423
13193
13685
15260
14216
14944
15079
16009
16131
16271
16402
16422
17428
19432
11648
11735
11776
11889
12173
12265
12660
11996
12612
12331
13132
13059
13099
13428
15121
20512
21525
21693
22095
22039
14320
14351
14353
14421
14607
4926
14802
14347
14872
14964
22188
15217
15580
15273
15480
0
15497
15939


22879
23229
23304

14768
14529
15091
14791
15397
14897
15532
15039
15236
14782
0
120620
980410
201101

990338
990723
100308
522
10511
80321
91019
980104
101107
11103
30144
118
21029
10912
30518
30422
20831
990717
140231
90217
90426
101208

990635
21012
30907
30233
90428
150412
80714
190507
20916
141101
150303
71007
120815
20430
60805
91110
24521
30841
30511
40511
190702
110836
80619
150316
30225
30125
30804
80508
130205
20429
70513
41121
150107
60303
80420
110708
121013
90517

991003
100809
81109
30517
80435
10622
734
70804
30406
80425
980812
80703
40306
21023
991220
140807
71114
11005
981117
90240
50201
731
180706
40216
81006
30226
150503
41215
140117
90157
990642
90512
10910
50905
216
607
70820
131116
990314
50809
31211
10211
90230
90801
150703
110827
30504

30715
101016
606
50625
991159
30241
190510
80511
41119
30240
991152
140106
20501
60611
10904
196
70916
61201
81215
90615
91203
101021
91015
90829
50418
110617
40504
100108
61106
80335
160908

61207
120407
141208
41212
809
760
5748
19017
21132
22407
19568
22619
15720
20223
21110
19046

15753
1620
1863
1768
1815
2048
20683
2623
9403
11610
12128
15499
14126
22230
20797
13782
18889
6898
8124
11926
8337
15866
12630
12756
6913
16303
13242
14021
13495
2889
2898
13767
13736
13849
13910
15627
4261
4299
4382
4489
4558
1884
4430
4606
4770
4932
4886
11999
4138
18426
14359
18957
18537
19771
15775
18506
19386
23647
15869
21667
22153
23754
18201
12741
15655
16270
16107
24245
16114
20160
16511
22557
20506
22690
20444
21958
17638
19838
23532
16483

13933
1259
1341
1377
1448
1455
0
15289
22795
9924
12886
13219
17413
5454
8241
12205
12820
16595
20771
980416
0
10515
21226
40920
30337
20703
210101
50529
70312
90420
703
181104
11003

523
100120
0
100315
990904
90140
990634
990603
0
991140
40612
0
920402
990535
930305
0
180906
181110
21900
16973
22159
22047
23230
16366
19567


17452


23491
22771
23082
20147
19080
16371
24166
16218
16694
17151
19199
17505
21150
22513
22841
17377
19275
12775
18232
18785
18666
17623
21498
21899
21574
19700
19057
18298
22199
16998
20633
21843
18366
16986
17161
22931
19221
17797
22964
23714
17447
18569
16350
23084
20844
17583
16894
16487
18476
16815
18185
16054
20306
16683
22901
16997
17342
20137
22785
24195
21042
16830
16775
19085
23811
21314
17418
20273
20700
20625
19253
20195
21849
16895
22120
20161

19551
16075
17389
19683
20884
23405
19179
20847
23430
17558
21173
19960
19375
19134
3279
23554
23293

23493
16176
16702
17027
19352
17329
20334
23616
17293

17166
22103
22511
19240
18526
20391
17025
16886
17503
16352
17715
21687
21748
21461
22068
18046

21128
22270
20343
23313
18263
19715
18551
20479
19879
23516
21836
16970
19618
20513
19824
21777
22813

17841
21806
23012
19953
17080
17122
19972
22961
22796
23687
24007

19454
19988
18177
17975
22496
18545
16911
20294
19466
18256
22676
17035
21908
16852
20100
17901
19856
18105

23882
21711
23310
16932
18305
18914
22311
19180
22324
17212
20030
20813
16581
24112
23164
17137
23608
24174



23993

17765
101001

111104
150603
120522
120413
160409
110734
24523








24098

24283

24424



24327



24204

24370

3053
5759
22708
3503
3852
4092
5960
4215
4230
4429
4621
4551
4977
4960
4662
23527
23780
4818
4956
4876
4915
23835
5251
5905
5037
6130
5082
24091
5737
24163
5328
6056
6195
6673
6247
8542
8743
8693
8833
8902
9121
9178
9055
9217
9257
9563
9462
9386
9641
9685
9794
9975
9985
10074
10083
17940
10506
20680
22410
23233
0


6743
8190
8341
8390
8421
8982
9169
9323
10154
10286
10561
11009
11061
6425
6979
8385
10372
10617
10706
10798
10950
11370
12733
10854
12092
11895
12950
6576
6534
6573
6634
6678
6684
6683
6688
6827
6906
6896
6973
7014
6923
7056
7008
6998
7094
7002
3637
7460
7510
7452
7318
7558
7378
7566
7740
8094
7745
18977
7896
7649
8069
7732
7769
8133
8227
